temperature,operation,residence time,co_digestion,feedstock,co_substrate,feedstock_and_co_substrate,additives,additives_or_chemicals,pre_treatment_type,pre_treatment,arg_removal_efficiency,mge_removal_efficiency,references
35,Batch,35,No,Sewage Sludge,,Sewage Sludge,,No,Conventional sedimentation,Yes,-67.49729144,-62.32044199,"(Jang et al., 2017)"
35,Batch,35,No,Sewage Sludge,,Sewage Sludge,,No,Fecl3 as coagulant (100 mg/L),Yes,-37.18446602,-69.16666667,"(Jang et al., 2017)"
55,Batch,35,No,Sewage Sludge,,Sewage Sludge,,No,Fecl3 as coagulant (100 mg/L),Yes,-66.4,-68.53174603,"(Jang et al., 2017)"
55,Semi-continuous,4,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (160 °C 30 mins),Yes,-80,0,"(C. Sun et al., 2019)"
40,Semi-continuous,12,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (160 °C 30 mins),Yes,25,0,"(C. Sun et al., 2019)"
40,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (160 °C 30 mins),Yes,-17,0,"(C. Sun et al., 2019)"
55,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (160 °C 30 mins),Yes,-92,0,"(C. Sun et al., 2019)"
55,Semi-continuous,20,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (160 °C 30 mins),Yes,-83,0,"(C. Sun et al., 2019)"
40,Semi-continuous,25,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (160 °C 30 mins),Yes,-70,0,"(C. Sun et al., 2019)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Microwave,Yes,-58.19,0,"(Tong et al., 2017)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis (165 °C 30 min),Yes,-77.33,0,"(Tong et al., 2017)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Ozonation,Yes,49.14,0,"(Tong et al., 2017)"
37,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,Thermal hydrolysis 150 °C,Yes,-98.69902913,-99.61013645,"(Ma et al., 2011)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Microwave,Yes,200,2.222222222,"(Tong et al., 2016)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Microwave + Acid,Yes,200,2.222222222,"(Tong et al., 2016)"
38,Semi-continuous,30,No,Sewage Sludge,,Sewage Sludge,,No,Microwave + Hydrogen peroxide,Yes,200,2.222222222,"(Tong et al., 2016)"
37,Semi-continuous,15,No,Sewage Sludge,,Sewage Sludge,,No,Microwave,Yes,-46.12,80.87,"(J. Zhang et al., 2019)"
37,Semi-continuous,20,No,Sewage Sludge,,Sewage Sludge,,No,Microwave,Yes,-80.7,80.87,"(J. Zhang et al., 2019)"
37,Semi-continuous,6.65,No,Manure,,Manure,Activated carbon,Yes,Microwave,Yes,-91,-87.95180723,"(L. Zhang et al., 2019)"
37,Batch,33,Yes,Food Waste,Sewage Sludge,Food Waste + Sewage Sludge,,No,Microwaved sewage sludge,Yes,400,-30,"(Zhang et al., 2016)"
37,Batch,33,Yes,Food Waste,Sewage Sludge,Food Waste + Sewage Sludge,,No,Microwaved food waste,Yes,500,275,"(Zhang et al., 2016)"
